City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
372,Qui Nhon,VN,70.29,broken clouds,13.7667,109.2333,Hoang Yen Canary Hotel
376,Kattivakkam,IN,80.08,overcast clouds,13.2167,80.3167,Euronova Freezer
380,Soledade,BR,79.84,clear sky,-28.8183,-52.5103,Pousada Da Gringa
381,Cap Malheureux,MU,79.47,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
383,Mahibadhoo,MV,81.81,few clouds,3.7833,72.9667,Omadhoo Inn
384,Saint-Pierre,RE,78.48,clear sky,-21.3393,55.4781,Lindsey Hôtel
387,Bubaque,GW,77.77,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
388,Okitipupa,NG,75.74,clear sky,6.5047,4.7839,Coastal Hotel & Suites
393,Koumac,NC,78.66,overcast clouds,-20.5667,164.2833,Le Monitel
395,Bonthe,SL,80.64,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
397,Cabedelo,BR,82.62,few clouds,-6.9811,-34.8339,Hotel Pigalle
399,Riberalta,BO,82.89,overcast clouds,-10.9833,-66.1,Hotel Colonial
405,Geraldton,AU,70.21,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
406,Chicama,PE,79.52,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
410,Sampit,ID,73.65,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
412,Lodwar,KE,89.96,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
413,Bara,NG,75.04,clear sky,10.3744,10.7288,
414,Caravelas,BR,83.34,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
415,Isangel,VU,79.72,light rain,-19.55,169.2667,Tanna Lodge
419,Ndele,CF,76.51,broken clouds,8.4109,20.6473,
420,Gigante,CO,76.55,overcast clouds,2.3868,-75.5453,Bosques De Luna
423,Padang,ID,77.04,moderate rain,-0.9492,100.3543,Mercure Padang
426,Jaciara,BR,79.02,overcast clouds,-15.9653,-54.9683,Taba Hotel
429,Kirakira,SB,80.85,overcast clouds,-10.4544,161.9205,SanBiz Lodge
430,Acapulco,MX,84.97,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
432,Ambon,ID,75.34,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
437,Thinadhoo,MV,82.62,broken clouds,0.5333,72.9333,
441,Port Hedland,AU,84.25,broken clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
442,Liwale,TZ,73.47,overcast clouds,-9.7667,37.9333,Samoma lodge
453,Tagusao,PH,77.31,overcast clouds,9.1924,117.8141,Green Villa beach resort
458,Cacapava Do Sul,BR,77.94,clear sky,-30.5122,-53.4914,Hotel Portal
459,Santarem,BR,81.43,light rain,-2.4431,-54.7083,Ecotur Lodge
469,Corn Island,NI,80.37,clear sky,12.1694,-83.0418,Big Fish Guest House
470,Sao Filipe,CV,73.81,clear sky,14.8961,-24.4956,Hotel Xaguate
475,Lompoc,US,75.13,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
479,Karratha,AU,83.79,clear sky,-20.7377,116.8463,ibis Styles Karratha
480,Atar,MR,80.96,clear sky,20.5169,-13.0499,Oumou Elghoura
481,Marilandia,BR,85.93,scattered clouds,-19.4128,-40.5417,Hotel Espaço Verde
486,Ponerihouen,NC,78.75,light rain,-21.0833,165.4,Camping de Tiakan
489,Hobyo,SO,76.73,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
491,Mlonggo,ID,78.82,overcast clouds,-6.5333,110.7,Asia Metal Art
492,Santa Catalina,PH,77.52,overcast clouds,9.3337,122.8637,BreakWater Beach Sta Catalina Negros Oriental
494,Cotonou,BJ,80.26,clear sky,6.3654,2.4183,Novotel Cotonou Orisha
503,Valparaiso,CL,70.52,clear sky,-33.0393,-71.6273,Hotel Ultramar
505,Totness,SR,81.99,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
507,Santa Isabel Do Rio Negro,BR,86.47,light rain,-0.4139,-65.0192,Hotel GSA
510,Makakilo City,US,74.68,drizzle,21.3469,-158.0858,Marriott's Ko Olina Beach Club
511,Kruisfontein,ZA,75.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
514,Makokou,GA,77.74,clear sky,0.5738,12.8642,Hôtel
516,Labrea,BR,87.35,heavy intensity rain,-7.2586,-64.7981,Hotel Novo Horizonte
518,Presidente Bernardes,BR,82.4,broken clouds,-22.0061,-51.5531,Hotel Central
520,Rawson,AR,75.85,clear sky,-43.3002,-65.1023,Hosteria Sampedro
526,Pundaguitan,PH,80.04,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
529,Wahiawa,US,72.86,drizzle,21.5028,-158.0236,Aloha Wahiawa
532,Mitu,CO,86.29,few clouds,1.1983,-70.1733,
534,Iquitos,PE,89.64,scattered clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
537,Calbuco,CL,70.81,few clouds,-41.768,-73.1273,Hotel Colonial
540,Palauig,PH,76.91,broken clouds,15.435,119.9045,Alperi Botique Resort
543,Soyo,AO,78.03,scattered clouds,-6.1349,12.3689,Hotel Mpampa
545,Samarai,PG,81.55,overcast clouds,-10.6167,150.6667,Nuli Sapi
546,Belmonte,BR,84.7,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
548,Dicabisagan,PH,73.27,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
549,Mollendo,PE,73.56,overcast clouds,-17.0231,-72.0147,Hostal La Casa de Melgar
551,Broken Hill,AU,70.09,clear sky,-31.95,141.4333,Royal Exchange Hotel
552,San Cristobal,VE,79.99,broken clouds,7.7669,-72.225,Posada Villaven C.A.
555,Calama,CL,77.49,clear sky,-22.4667,-68.9333,Diego De Almagro Calama
560,Ghanzi,BW,75.58,overcast clouds,-21.5667,21.7833,Ghanzi Farmhouse
562,Gorontalo,ID,73.62,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
564,Aripuana,BR,86.85,scattered clouds,-9.1667,-60.6333,
565,Cozumel,MX,77.11,overcast clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
567,Trelew,AR,80.55,clear sky,-43.249,-65.3051,Hotel Touring Club
570,Lima,PE,78.91,scattered clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
571,Auki,SB,78.87,overcast clouds,-8.7676,160.7034,Auki Motel
