City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
212,Muravlenko,RU,2022-01-28 19:58:01,63.7898,74.523,-5.96,100,88,8.9
213,Zhigalovo,RU,2022-01-28 19:58:02,54.8097,105.1578,-20.67,100,99,0.78
214,Khakhea,BW,2022-01-28 19:58:02,-24.6895,23.494,76.32,56,36,8.32
215,Tautira,PF,2022-01-28 19:58:02,-17.7333,-149.15,80.62,76,26,16.73
216,Rocha,UY,2022-01-28 19:58:02,-34.4833,-54.3333,70.57,57,13,10.51
217,Ponta Do Sol,PT,2022-01-28 19:53:53,32.6667,-17.1,62.71,61,54,7.87
218,Neiafu,TO,2022-01-28 19:58:03,-18.65,-173.9833,82.92,77,73,20.4
219,Tasiilaq,GL,2022-01-28 19:58:03,65.6145,-37.6368,7.14,63,35,6.26
220,Grand Forks,US,2022-01-28 19:58:03,47.9417,-97.4337,14.79,89,97,3.49
221,Ugoofaaru,MV,2022-01-28 19:58:04,5.6667,73.0,81.43,66,1,17.29
222,Alihe,CN,2022-01-28 19:58:04,50.5667,123.7167,4.01,82,100,5.84
223,Champasak,LA,2022-01-28 19:58:04,14.75,106.0,67.46,58,30,2.82
224,Husavik,IS,2022-01-28 19:53:58,66.0449,-17.3389,26.51,84,87,33.49
225,Butaritari,KI,2022-01-28 19:58:05,3.0707,172.7902,81.73,79,92,17.81
226,Mar Del Plata,AR,2022-01-28 19:58:05,-38.0023,-57.5575,75.22,72,20,18.01
227,Bondowoso,ID,2022-01-28 19:58:05,-7.9135,113.8214,73.18,89,100,1.3
228,Richards Bay,ZA,2022-01-28 19:58:06,-28.783,32.0377,75.11,88,100,13.4
229,Tiznit,MA,2022-01-28 19:58:06,29.5833,-9.5,57.22,40,0,23.31
230,Tambopata,PE,2022-01-28 19:58:06,-12.7333,-69.1833,87.69,66,75,2.3
231,Sendafa,ET,2022-01-28 19:59:07,9.15,39.0333,52.2,59,100,3.56
232,Naryan-Mar,RU,2022-01-28 19:59:07,67.6713,53.087,2.08,96,100,9.98
233,Boyolangu,ID,2022-01-28 19:59:07,-8.1181,111.8935,75.47,89,100,3.15
234,Asau,RO,2022-01-28 19:59:08,46.4333,26.4,38.32,75,99,10.29
235,Torbay,CA,2022-01-28 19:59:08,47.6666,-52.7314,26.28,82,100,10.36
236,Sola,VU,2022-01-28 19:57:00,-13.8833,167.55,79.25,86,100,22.12
237,Khandyga,RU,2022-01-28 19:59:08,62.6667,135.6,-40.52,99,88,2.42
238,Bathsheba,BB,2022-01-28 19:59:09,13.2167,-59.5167,77.61,83,40,6.91
239,Mangan,IN,2022-01-28 19:59:09,27.5167,88.5333,46.81,35,1,6.4
240,Acapulco,MX,2022-01-28 19:57:47,16.8634,-99.8901,84.65,59,1,9.33
241,Aklavik,CA,2022-01-28 19:59:09,68.2191,-135.0107,-18.4,76,20,3.44
242,Honavar,IN,2022-01-28 19:59:10,14.2833,74.45,73.85,51,97,6.73
243,Chokwe,MZ,2022-01-28 19:59:10,-24.5333,32.9833,80.51,66,16,8.59
244,Svetlaya,RU,2022-01-28 19:59:10,46.5389,138.3297,2.01,73,9,8.37
245,Srivardhan,IN,2022-01-28 19:59:11,18.0333,73.0167,70.52,54,0,6.38
246,Poum,NC,2022-01-28 19:59:11,-20.2333,164.0167,81.86,78,94,22.15
247,Lucapa,AO,2022-01-28 19:59:11,-8.4192,20.7447,67.89,85,93,2.51
248,Puerto Leguizamo,CO,2022-01-28 19:55:56,-0.1934,-74.7819,95.88,30,48,3.87
249,Batticaloa,LK,2022-01-28 19:59:12,7.7102,81.6924,77.07,85,46,4.61
250,Nishihara,JP,2022-01-28 19:59:12,26.1842,127.7558,63.68,97,100,8.05
251,Bani Walid,LY,2022-01-28 19:59:12,31.7566,13.9942,49.48,46,0,7.23
252,Tilichiki,RU,2022-01-28 19:59:13,60.4667,166.1,25.75,85,100,31.45
253,Grand Gaube,MU,2022-01-28 19:59:13,-20.0064,57.6608,79.2,77,6,3.0
254,Gboko,NG,2022-01-28 19:59:13,7.3179,8.9951,83.41,16,100,7.9
255,Khasan,RU,2022-01-28 19:59:14,42.4308,130.6434,16.77,54,0,19.95
256,Ishikawa,JP,2022-01-28 19:59:14,26.4233,127.8214,64.36,95,75,6.91
257,Dunedin,NZ,2022-01-28 19:59:14,-45.8742,170.5036,60.19,70,99,0.54
258,Pahrump,US,2022-01-28 19:55:11,36.2083,-115.9839,54.1,14,76,3.0
259,Severo-Kurilsk,RU,2022-01-28 19:59:15,50.6789,156.125,23.11,73,100,31.18
260,Sorland,NO,2022-01-28 19:54:46,67.667,12.6934,31.86,60,100,17.18
261,Talaya,RU,2022-01-28 19:59:15,61.3833,152.75,-9.49,99,100,5.59
262,Loandjili,CG,2022-01-28 19:59:15,-4.7561,11.8578,77.59,85,100,0.94
263,Ode,NG,2022-01-28 19:59:16,7.7899,5.7117,78.67,19,88,3.51
264,Pedasi,PA,2022-01-28 19:59:16,7.5333,-80.0333,82.08,69,25,10.76
265,Saint George,US,2022-01-28 19:55:01,37.1041,-113.5841,57.67,25,0,3.0
266,Rock Sound,BS,2022-01-28 19:59:17,24.9,-76.2,76.24,75,99,15.79
267,Codrington,AU,2022-01-28 19:57:52,-38.2667,141.9667,62.58,79,90,12.1
268,Weligama,LK,2022-01-28 19:59:17,5.9667,80.4167,75.67,85,56,2.08
269,Sharjah,AE,2022-01-28 19:55:12,25.3573,55.4033,71.58,75,20,3.44
270,Mahebourg,MU,2022-01-28 19:59:17,-20.4081,57.7,79.09,89,75,2.3
271,Kupang,ID,2022-01-28 19:58:56,-10.1667,123.5833,78.71,87,100,10.31
272,Chervona Sloboda,UA,2022-01-28 19:59:18,49.3789,32.1464,32.43,94,93,16.84
273,Isangel,VU,2022-01-28 19:59:18,-19.55,169.2667,78.21,92,86,10.94
274,Vostok,RU,2022-01-28 19:59:19,46.4856,135.8833,-8.0,99,100,5.66
275,Moose Factory,CA,2022-01-28 19:59:19,51.2585,-80.6094,-0.4,65,75,12.66
276,Salalah,OM,2022-01-28 19:59:19,17.0151,54.0924,71.13,51,63,3.76
277,Ixtapa,MX,2022-01-28 20:00:13,20.7,-105.2,88.38,31,86,7.02
278,Gizo,SB,2022-01-28 20:00:20,-8.103,156.8419,81.68,76,90,8.3
279,The Valley,AI,2022-01-28 20:00:20,18.217,-63.0578,79.11,68,1,13.51
280,Hasaki,JP,2022-01-28 20:00:20,35.7333,140.8333,34.2,49,100,11.41
281,Porbandar,IN,2022-01-28 20:00:21,21.6422,69.6093,66.43,36,2,9.06
282,Lesnoy,RU,2022-01-28 20:00:21,57.6198,63.0784,2.68,98,100,3.56
283,Susanville,US,2022-01-28 20:00:21,40.4163,-120.653,43.81,48,0,8.01
284,Salinopolis,BR,2022-01-28 20:00:22,-0.6136,-47.3561,76.03,90,100,9.73
285,Airai,TL,2022-01-28 20:00:22,-8.9266,125.4092,59.81,90,100,3.04
286,Cavalcante,BR,2022-01-28 20:00:23,-13.7975,-47.4583,75.47,76,86,4.7
287,Taltal,CL,2022-01-28 20:00:23,-25.4,-70.4833,69.42,70,30,7.96
288,Tomatlan,MX,2022-01-28 20:00:23,19.9333,-105.25,87.89,34,100,7.83
289,Baturaja,ID,2022-01-28 20:00:24,-4.1333,104.1667,72.07,96,100,1.48
290,Asfi,MA,2022-01-28 20:00:24,32.2994,-9.2372,60.98,68,33,14.07
291,Kyaikkami,MM,2022-01-28 20:00:24,16.08,97.5675,78.33,73,37,9.46
292,Bunbury,AU,2022-01-28 20:00:25,-33.3333,115.6333,60.82,57,0,16.2
293,Houma,US,2022-01-28 20:00:25,29.5958,-90.7195,57.0,52,100,17.0
294,Ballina,AU,2022-01-28 20:00:26,-28.8667,153.5667,67.78,97,75,4.5
295,Cozmesti,RO,2022-01-28 20:00:26,46.8833,27.9833,38.55,76,65,10.51
