City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
206,Kamaishi,JP,39.2667,141.8833,26.15,62,3,6.08,clear sky
207,Maungatapere,NZ,-35.75,174.2,72.09,100,100,2.26,overcast clouds
208,Arraial Do Cabo,BR,-22.9661,-42.0278,89.56,62,0,19.57,clear sky
209,Stony Plain,CA,53.5334,-114.0021,43.83,74,68,15.9,broken clouds
210,Paita,PE,-5.0892,-81.1144,84.76,66,54,15.08,broken clouds
211,Cockburn Town,TC,21.4612,-71.1419,80.56,44,20,14.97,few clouds
212,Narsaq,GL,60.9167,-46.05,9.37,72,100,1.16,overcast clouds
213,Phonhong,LA,18.5007,102.4166,66.13,84,100,2.91,overcast clouds
214,Jiazi,CN,22.8779,116.067,56.89,83,100,19.57,overcast clouds
215,Celendin,PE,-6.8703,-78.1517,66.72,70,100,2.84,light rain
216,Batagay-Alyta,RU,67.8006,130.4114,-24.63,99,100,2.48,overcast clouds
217,Ancud,CL,-41.8697,-73.8203,75.22,66,10,6.38,clear sky
218,Bayir,TR,37.2687,28.2167,39.72,71,0,2.53,clear sky
219,Baykit,RU,61.67,96.37,-6.41,100,100,2.53,overcast clouds
220,Jalpan,MX,21.2333,-99.4833,77.04,31,0,6.58,clear sky
221,Dakar,SN,14.6937,-17.4441,81.48,73,0,13.8,clear sky
222,Maracacume,BR,-2.0428,-45.9592,79.11,90,100,4.29,overcast clouds
223,Blagodatnoye,RU,45.3997,42.5867,31.12,91,100,24.54,light snow
224,Bengkulu,ID,-3.8004,102.2655,76.1,88,100,9.84,overcast clouds
225,Bambous Virieux,MU,-20.3428,57.7575,79.21,89,40,11.5,scattered clouds
226,Mogadishu,SO,2.0371,45.3438,77.38,82,43,19.01,scattered clouds
227,Prince Rupert,CA,54.3161,-130.3201,46.49,76,100,18.41,overcast clouds
228,Kirkuk,IQ,35.4681,44.3922,46.44,54,100,2.57,overcast clouds
229,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,27.19,69,75,17.9,light shower snow
230,Meulaboh,ID,4.1363,96.1285,76.14,90,100,6.53,overcast clouds
231,Saint-Philippe,RE,-21.3585,55.7679,78.39,80,99,15.5,overcast clouds
232,Lakselv,NO,70.0513,24.9718,26.42,86,75,20.71,broken clouds
233,Comodoro Rivadavia,AR,-45.8667,-67.5,76.86,31,0,13.8,clear sky
234,Constitucion,CL,-35.3333,-72.4167,71.74,56,13,9.75,few clouds
235,Altay,CN,47.8667,88.1167,8.44,46,10,10.09,clear sky
236,New Baltimore,US,42.6811,-82.7369,34.52,57,7,14.52,clear sky
237,El Tigre,VE,8.8875,-64.2454,93.74,31,46,9.71,scattered clouds
238,Nantucket,US,41.2835,-70.0995,32.97,69,100,4.9,overcast clouds
239,Labuhan,ID,-6.8844,112.2051,77.36,91,100,6.87,overcast clouds
240,Nha Trang,VN,12.25,109.1833,73.4,92,66,5.68,broken clouds
241,Kaeo,NZ,-35.1,173.7833,73.33,98,100,4.65,overcast clouds
242,Tromso,NO,69.6496,18.957,30.22,64,0,18.41,clear sky
243,Koutsouras,GR,35.0339,25.9469,57.11,78,6,1.52,clear sky
244,Rudbar,AF,30.15,62.6,55.81,26,0,7.67,clear sky
245,Coquimbo,CL,-29.9533,-71.3436,69.73,67,41,5.99,scattered clouds
246,Salvador,SV,13.8333,-88.9167,90.61,29,12,1.43,few clouds
247,Imbituba,BR,-28.24,-48.6703,82.29,75,53,11.59,broken clouds
248,Carnarvon,AU,-24.8667,113.6333,75.27,69,100,21.85,overcast clouds
249,Port Pirie,AU,-33.1833,138.0167,66.29,34,4,14.27,clear sky
250,Norman Wells,CA,65.282,-126.8329,-14.76,70,75,12.66,broken clouds
251,Okhotsk,RU,59.3833,143.3,-0.83,69,100,12.15,overcast clouds
252,Kuji,JP,40.1878,141.7689,25.72,73,13,15.26,few clouds
253,Saskylakh,RU,71.9167,114.0833,-24.65,100,95,1.61,overcast clouds
254,Fallon,US,39.4735,-118.7774,49.91,38,0,5.1,clear sky
255,Le Port,RE,-20.9373,55.2919,78.8,74,93,12.84,overcast clouds
256,Xai-Xai,MZ,-25.0519,33.6442,76.84,80,16,15.61,light rain
257,Dandong,CN,40.1292,124.3947,11.73,86,10,3.18,clear sky
258,Amambai,BR,-23.1042,-55.2258,86.88,37,59,8.46,broken clouds
259,Les Cayes,HT,18.2,-73.75,82.71,53,2,10.11,clear sky
260,Uthal,PK,25.8072,66.6219,69.03,74,11,4.61,few clouds
261,Hunsur,IN,12.3075,76.2878,66.16,82,28,3.87,scattered clouds
262,Denpasar,ID,-8.65,115.2167,78.46,94,20,1.14,few clouds
263,Awjilah,LY,29.1081,21.2869,60.94,28,6,4.23,clear sky
264,Darnetal,FR,49.4453,1.1514,51.37,88,100,1.01,mist
265,Matagami,CA,49.7502,-77.6328,10.51,79,100,12.66,light snow
266,Davidson,US,36.1501,-86.7833,50.41,41,0,8.01,clear sky
267,Mbanza-Ngungu,CD,-5.25,14.8667,70.02,89,72,2.26,broken clouds
268,Raudeberg,NO,61.9875,5.1352,38.86,86,87,1.99,overcast clouds
269,Shumskiy,RU,54.8318,99.1328,12.16,96,100,2.44,overcast clouds
270,Naica,MX,27.85,-105.4833,59.56,21,0,1.88,clear sky
271,Gat,IL,31.61,34.7642,54.91,83,0,5.59,clear sky
272,Banda Aceh,ID,5.5577,95.3222,76.35,91,100,8.37,overcast clouds
273,Chuy,UY,-33.6971,-53.4616,75.27,39,3,16.82,clear sky
274,Beyneu,KZ,45.3167,55.2,28.31,79,21,6.4,few clouds
275,Antalaha,MG,-14.9003,50.2788,76.8,85,100,4.97,overcast clouds
276,Raga,SS,8.4596,25.678,69.91,18,95,4.36,overcast clouds
277,Idil,TR,37.3411,41.8895,40.53,58,100,2.19,overcast clouds
278,Khatanga,RU,71.9667,102.5,-18.33,98,99,8.61,overcast clouds
279,Chaihe,CN,44.7667,129.7,-8.32,98,53,4.5,broken clouds
280,Sanming,CN,26.2486,117.6186,50.0,97,100,3.71,moderate rain
281,Mae Chan,TH,20.1467,99.8526,64.06,99,53,1.45,broken clouds
282,Riyadh,SA,24.6877,46.7219,55.54,39,0,8.23,clear sky
283,San Pedro De Macoris,DO,18.4616,-69.2972,77.38,80,86,12.88,overcast clouds
284,Yulara,AU,-25.2406,130.9889,69.64,43,0,6.91,clear sky
285,Anadyr,RU,64.75,177.4833,-17.9,76,0,8.95,clear sky
286,Ahipara,NZ,-35.1667,173.1667,72.84,98,100,6.71,overcast clouds
287,Huarmey,PE,-10.0681,-78.1522,75.54,70,24,11.36,few clouds
288,Kemin,KG,42.7846,75.6892,31.12,83,100,5.28,light snow
289,Uglich,RU,57.5275,38.3317,16.95,98,84,5.48,broken clouds
290,Igarka,RU,67.4667,86.5833,-14.39,100,86,7.36,overcast clouds
291,Richards Bay,ZA,-28.783,32.0377,72.01,91,28,4.65,moderate rain
292,Port Lincoln,AU,-34.7333,135.8667,70.99,69,0,12.59,clear sky
293,Tuatapere,NZ,-46.1333,167.6833,42.82,84,5,3.0,clear sky
294,Pochutla,MX,15.7432,-96.4661,88.83,37,0,10.13,clear sky
295,Kahului,US,20.8947,-156.47,76.84,77,20,12.66,few clouds
296,Port Hardy,CA,50.6996,-127.4199,46.76,81,100,14.97,overcast clouds
297,Acarau,BR,-2.8856,-40.12,84.52,65,100,15.73,overcast clouds
298,Hengshui,CN,37.7322,115.7011,30.69,43,100,1.5,overcast clouds
299,Mbandaka,CD,0.0487,18.2603,80.29,34,8,4.85,clear sky
300,Klaksvik,FO,62.2266,-6.589,36.52,59,81,35.88,broken clouds
301,Flinders,AU,-34.5833,150.8552,64.2,85,77,11.01,light rain
302,Worthington,US,40.0931,-83.018,36.55,62,5,1.01,moderate rain
303,Kropotkin,RU,45.4375,40.5756,34.23,76,100,13.87,overcast clouds
304,Pitea,SE,65.3172,21.4794,31.08,98,100,4.43,snow
305,Mahon,ES,39.8885,4.2658,46.96,81,20,2.3,few clouds
306,Oussouye,SN,12.485,-16.5469,96.98,38,1,7.07,clear sky
307,Yar-Sale,RU,66.8333,70.8333,-12.24,100,88,7.63,overcast clouds
308,Chenzhou,CN,25.8,113.0333,46.27,97,100,3.94,overcast clouds
309,Khomeyn,IR,33.6423,50.0789,28.45,64,1,5.53,clear sky
310,Asau,RO,46.4333,26.4,41.4,69,100,6.15,overcast clouds
311,Nikolskoye,RU,59.7035,30.7861,35.87,94,100,12.28,light snow
312,Pauini,BR,-7.7136,-66.9764,86.61,60,54,1.61,broken clouds
313,Geeste,DE,52.6,7.2667,41.67,93,100,6.91,overcast clouds
314,Dunedin,NZ,-45.8742,170.5036,53.8,77,0,3.13,clear sky
315,Koudougou,BF,12.25,-2.3667,83.35,9,0,7.81,clear sky
316,Pacific Grove,US,36.6177,-121.9166,67.39,53,0,3.0,clear sky
317,Lavrentiya,RU,65.5833,-171.0,-12.37,93,5,6.89,clear sky
318,Kieta,PG,-6.2167,155.6333,79.36,83,100,7.56,overcast clouds
319,Senanga,ZM,-16.1167,23.2667,68.65,91,100,8.48,moderate rain
320,La Ronge,CA,55.1001,-105.2842,-1.95,78,100,8.05,overcast clouds
321,San Quintin,MX,30.4833,-115.95,64.2,27,0,4.54,clear sky
322,Mount Isa,AU,-20.7333,139.5,76.77,65,75,5.75,broken clouds
323,Ntcheu,MW,-14.8203,34.6359,62.55,92,6,3.09,clear sky
324,Sioux Lookout,CA,50.1001,-91.917,8.67,66,20,3.44,few clouds
325,Victoria,HK,22.2855,114.1577,62.26,84,100,8.99,overcast clouds
326,Scarborough,GB,54.2797,-0.4044,40.51,80,44,4.0,scattered clouds
327,Guerrero Negro,MX,27.9769,-114.0611,66.49,26,0,4.5,clear sky
328,Hamilton,US,39.1834,-84.5333,39.83,59,2,1.01,clear sky
329,Manakara,MG,-22.1333,48.0167,78.51,93,100,14.72,moderate rain
330,Hirara,JP,24.8,125.2833,64.53,65,43,17.36,scattered clouds
331,Leningradskiy,RU,69.3833,178.4167,-22.76,98,28,6.62,scattered clouds
332,Luba,GQ,3.4568,8.5547,80.49,82,6,9.08,clear sky
333,Seminole,US,28.7086,-81.2081,71.06,88,100,1.99,overcast clouds
334,Sasaram,IN,24.951,84.0149,51.53,69,0,0.6,clear sky
335,Tiradentes,BR,-21.1103,-44.1781,72.01,94,100,6.2,overcast clouds
336,Sunrise Manor,US,36.2111,-115.0731,63.25,18,0,8.99,clear sky
337,Porto Walter,BR,-8.2686,-72.7439,88.29,58,100,3.62,overcast clouds
338,Chara,RU,56.9064,118.2631,-5.4,85,100,2.13,overcast clouds
339,Ryotsu,JP,38.0833,138.4333,31.8,76,100,16.49,light snow
340,Cidreira,BR,-30.1811,-50.2056,81.25,51,0,11.86,clear sky
341,Ossora,RU,59.2353,163.0719,5.59,77,100,10.69,overcast clouds
342,Fortuna,US,40.5982,-124.1573,59.94,66,0,1.99,clear sky
343,Hakodate,JP,41.7758,140.7367,21.36,87,28,6.85,scattered clouds
344,Nanortalik,GL,60.1432,-45.2371,15.22,67,100,20.65,overcast clouds
345,Lincoln,US,40.8,-96.667,44.98,55,93,5.99,overcast clouds
346,Dingli,MT,35.8614,14.3822,54.81,94,20,4.61,few clouds
347,Zharkent,KZ,44.1628,80.0,26.58,51,89,1.01,overcast clouds
348,Ulladulla,AU,-35.35,150.4667,60.76,82,51,8.99,broken clouds
